Kingdom	Phylum	Class	Order	Family	Genus
asv5988	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade Ib
asv5989	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB
asv5990	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	PB19 uc	PB19 uc
asv5991	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
asv5992	Bacteria	Chloroflexi	Dehalococcoidia	S085	S085 uc	S085 uc
asv5993	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacterales uc	Vicinamibacterales uc
asv5994	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionellaceae uc
asv5995	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Cand_Megaira
asv5996	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv5997	Bacteria	Chloroflexi	Dehalococcoidia	SAR202	SAR202 uc	SAR202 uc
asv5999	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27
asv6000	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudahrensia
asv6001	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
asv6002	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A	KI89A uc	KI89A uc
asv6004	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Pseudofulvibacter
asv6005	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae uc
asv6006	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6007	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc
asv6008	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc
asv6009	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Cand_Megaira
asv6010	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1 uc
asv6011	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II uc	Marine_Group_II uc
asv6012	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales uc	Rhodospirillales uc
asv6013	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula
asv6014	Bacteria	PAUC34f	PAUC34f uc	PAUC34f uc	PAUC34f uc	PAUC34f uc
asv6015	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02
asv6016	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
asv6017	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4
asv6019	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv6020	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cyclobacteriaceae uc
asv6021	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges
asv6022	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera
asv6023	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36	HOC36 uc	HOC36 uc
asv6024	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
asv6025	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae uc
asv6026	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Bernardetiaceae	Bernardetia
asv6027	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc
asv6028	Bacteria	Margulisbacteria	Margulisbacteria uc	Margulisbacteria uc	Margulisbacteria uc	Margulisbacteria uc
asv6029	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga
asv6030	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade Ib
asv6031	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio
asv6032	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv6033	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6034	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina
asv6035	Bacteria	PAUC34f	PAUC34f uc	PAUC34f uc	PAUC34f uc	PAUC34f uc
asv6036	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
asv6037	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)
asv6038	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus
asv6039	Bacteria	NB1-j	NB1-j uc	NB1-j uc	NB1-j uc	NB1-j uc
asv6040	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92
asv6041	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand_Nitrosopelagicus
asv6042	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II uc	Marine_Group_II uc
asv6043	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv6044	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
asv6045	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv6046	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc
asv6051	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter
asv6052	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
asv6053	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SCGC_AAA164-E04
asv6054	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae uc
asv6055	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
asv6056	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
asv6057	Bacteria	Planctomycetota	Pla3_lineage	Pla3_lineage uc	Pla3_lineage uc	Pla3_lineage uc
asv6058	Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales	Bradymonadales uc	Bradymonadales uc
asv6059	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv6060	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae uc
asv6061	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
asv6062	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria uc	Alphaproteobacteria uc	Alphaproteobacteria uc
asv6064	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
asv6065	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Cand_Megaira
asv6066	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv6067	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
asv6068	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae uc
asv6069	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc
asv6070	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
asv6071	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv6072	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
asv6073	Bacteria	Proteobacteria	Gammaproteobacteria	SS1-B-07-19	SS1-B-07-19 uc	SS1-B-07-19 uc
asv6074	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade I uc
asv6075	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystaceae uc
asv6076	Bacteria	Chloroflexi	Dehalococcoidia	SAR202	SAR202 uc	SAR202 uc
asv6077	Bacteria	Planctomycetota	OM190	OM190 uc	OM190 uc	OM190 uc
asv6078	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9	NS9 uc
asv6080	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	Kangiellaceae uc
asv6081	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallales uc	Victivallales uc
asv6082	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9	NS9 uc
asv6083	Bacteria	Patescibacteria	Gracilibacteria	JGI_0000069-P22	JGI_0000069-P22 uc	JGI_0000069-P22 uc
asv6084	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
asv6085	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	4572-13	4572-13 uc
asv6086	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc
asv6088	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arenibacter
asv6090	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	SEEP-SRB4
asv6091	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae uc
asv6092	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
asv6093	Bacteria	Proteobacteria	Gammaproteobacteria	OM182	OM182 uc	OM182 uc
asv6094	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6095	Bacteria	Gemmatimonadota	BD2-11	BD2-11 uc	BD2-11 uc	BD2-11 uc
asv6096	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc
asv6097	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6098	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169	AEGEAN-169 uc
asv6099	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales uc	Defluviicoccales uc
asv6100	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
asv6101	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Limibaculum
asv6102	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina
asv6103	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae uc
asv6104	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Chroococcidiopsaceae uc
asv6105	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
asv6106	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6107	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagales uc	Cytophagales uc
asv6108	Bacteria	Nitrospinota	Nitrospinota uc	Nitrospinota uc	Nitrospinota uc	Nitrospinota uc
asv6109	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriales uc	Flavobacteriales uc
asv6110	Bacteria	Margulisbacteria	Margulisbacteria uc	Margulisbacteria uc	Margulisbacteria uc	Margulisbacteria uc
asv6112	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales uc	Defluviicoccales uc
asv6113	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6114	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9	NS9 uc
asv6115	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6116	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula
asv6117	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169	AEGEAN-169 uc
asv6118	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cyclobacteriaceae uc
asv6119	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	PB19 uc	PB19 uc
asv6120	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade I uc
asv6121	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina
asv6122	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae uc
asv6124	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
asv6125	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella
asv6126	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus
asv6127	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
asv6128	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05_cluster
asv6129	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Reinekea
asv6130	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
asv6131	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 uc	SAR11 uc
asv6132	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7	NS7 uc
asv6133	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola
asv6134	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7
asv6135	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9	NS9 uc
asv6136	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
asv6137	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
asv6138	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
asv6139	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6140	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsiaceae uc
asv6141	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	SAR86 uc	SAR86 uc
asv6142	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27
asv6143	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
asv6144	Bacteria	Chloroflexi	Dehalococcoidia	SAR202	SAR202 uc	SAR202 uc
asv6145	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter
asv6146	Bacteria	Chloroflexi	Dehalococcoidia	SAR202	SAR202 uc	SAR202 uc
asv6147	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996
asv6148	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Flammeovirgaceae uc
asv6149	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrionaceae uc
asv6150	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	SAR86 uc	SAR86 uc
asv6151	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Nitrincolaceae uc
asv6152	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Nonlabens
asv6153	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus
asv6154	Bacteria	Gemmatimonadota	BD2-11	BD2-11 uc	BD2-11 uc	BD2-11 uc
asv6155	Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	Thiohalorhabdaceae uc
asv6156	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade Ia
asv6157	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	Thermicanus
asv6158	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv6159	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Roseospirillum
asv6160	Bacteria	Proteobacteria	Gammaproteobacteria	OM182	OM182 uc	OM182 uc
asv6161	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7	NS7 uc
asv6163	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1 uc
asv6164	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera
asv6166	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Ectothiorhodospiraceae uc
asv6167	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6168	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 uc	SAR11 uc
asv6169	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NAC11-7
asv6171	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv6172	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc
asv6173	Bacteria	Margulisbacteria	Margulisbacteria uc	Margulisbacteria uc	Margulisbacteria uc	Margulisbacteria uc
asv6174	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc
asv6175	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadia uc	Desulfuromonadia uc	Desulfuromonadia uc
asv6176	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6177	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella
asv6178	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6180	Bacteria	Patescibacteria	Gracilibacteria	JGI_0000069-P22	JGI_0000069-P22 uc	JGI_0000069-P22 uc
asv6181	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Psychrilyobacter
asv6182	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6183	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc
asv6184	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae uc
asv6185	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina
asv6186	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
asv6189	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Verruc-01
asv6190	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	PB19 uc	PB19 uc
asv6191	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6192	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum
asv6193	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116	SAR116 uc
asv6194	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade Ib
asv6195	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169	AEGEAN-169 uc
asv6196	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade I uc
asv6197	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade II	SAR11 Clade II uc
asv6198	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	IS-44
asv6199	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaeria uc	Lentisphaeria uc	Lentisphaeria uc
asv6200	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NAC11-7
asv6201	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6202	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6203	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
asv6204	Bacteria	Gemmatimonadota	BD2-11	BD2-11 uc	BD2-11 uc	BD2-11 uc
asv6205	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Gimesia
asv6206	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus
asv6209	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6210	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169	AEGEAN-169 uc
asv6211	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina
asv6212	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola
asv6213	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
asv6214	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae uc
asv6215	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria uc
asv6216	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6217	Bacteria	Proteobacteria	Gammaproteobacteria	JTB23	JTB23 uc	JTB23 uc
asv6218	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc
asv6219	Bacteria	Proteobacteria	Alphaproteobacteria	AT-s3-44	AT-s3-44 uc	AT-s3-44 uc
asv6220	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales uc	Rhodospirillales uc
asv6221	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
asv6223	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11 Clade I	SAR11 Clade I uc
asv6224	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
asv6225	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovoracaceae uc
asv6226	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
asv6227	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II uc	Marine_Group_II uc
asv6228	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter
asv6229	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Sneathiella
asv6230	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66 uc	JG30-KF-CM66 uc	JG30-KF-CM66 uc
asv6231	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
asv6232	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella
asv6233	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9	NS9 uc
asv6234	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina
asv6235	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae uc
asv6236	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina
asv6237	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovoracaceae uc
asv6238	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc	Marinimicrobia_SAR406 uc
asv6239	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	PB19 uc	PB19 uc
asv6240	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7	NS7 uc
asv6241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169	AEGEAN-169 uc
asv6242	Bacteria	Chloroflexi	Dehalococcoidia	SAR202	SAR202 uc	SAR202 uc
asv6243	Bacteria	Proteobacteria	Gammaproteobacteria	MBMPE27	MBMPE27 uc	MBMPE27 uc
asv6244	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria uc	Alphaproteobacteria uc	Alphaproteobacteria uc
