"Sample"	"RAS_id"	"locus_tag"	"Mooring_full"	"Mooring"	"Year"	"Month_abb"	"Month"	"Latitude"	"Longitude"	"Clip_id"	"Depth"	"Temperature"	"Salinity"	"Sig"	"O2_concentration"	"O2_saturation"	"Chlorophyll_a_sensor"	"pH"	"AW_proportion"	"PW_proportion"	"Date"	"Daylight"	"NO3_NO2"	"PO4"	"NO2"	"SiO4"	"Ice_cover"	"Ice_edge_distance"	"Ice_cover_past"	"Ice_edge_distance_past"	"Mooring_position"	"Ice_cover_category"	"Ice_cover_past_category"	"Mooring_name"
"65"	"RAS_EGC_04_1819_1"	"04_2019_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Apr"	"19-Apr"	79	-5.4	"FRAM_4039_clip"	72.45	-1.75	33.84	27.23	331.75	87.75	0.06	8.1	0	1	"4/18/2019"	21.12	NA	NA	NA	NA	98.93	-122.91	97.22	-74.18	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"66"	"RAS_EGC_05_1819_1"	"05_2019_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"May"	"19-May"	79	-5.4	"FRAM_4040_clip"	77.06	-1.56	34	27.36	321.39	85.55	0.06	8.12	0	1	"5/4/2019"	24	NA	NA	NA	NA	96.77	-37.59	89.79	-48.84	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"67"	"RAS_EGC_05_1819_2"	"05_2019_EGC_2"	"16S"	"EGC-5"	"EGC"	"2018-19"	"May"	"19-May"	79	-5.4	"FRAM_4041_clip"	73.58	-0.88	34.03	27.36	307.22	83.31	0.05	8.07	0	1	"5/20/2019"	24	NA	NA	NA	NA	88.5	-90.78	92.62	-60.43	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"68"	"RAS_EGC_06_1819_1"	"06_2019_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Jun"	"19-Jun"	79	-5.4	"FRAM_4042_clip"	71.78	-1.5	34.02	27.37	326.5	87.07	0.08	8.12	0	1	"6/5/2019"	24	NA	NA	NA	NA	72.99	-34.61	68.44	-30.91	"core-EGC"	"high"	"medium"	"core-EGC_2018-19"
"69"	"RAS_EGC_07_1819_2"	"07_2019_EGC_2"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Jul"	"19-Jul"	79	-5.4	"FRAM_4045_clip"	71.28	-1.16	34.11	27.44	312.65	84.2	0.06	NA	0	1	"7/11/2019"	24	NA	NA	NA	NA	90.07	-41.73	92.6	-61.1	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"70"	"RAS_EGC_07_1819_3"	"07_2019_EGC_3"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Jul"	"19-Jul"	79	-5.4	"FRAM_4046_clip"	71.83	-1.38	34.11	27.45	317.52	85.01	0.1	NA	0	1	"7/19/2019"	24	NA	NA	NA	NA	62.56	-10.06	82.19	-53.36	"core-EGC"	"medium"	"high"	"core-EGC_2018-19"
"71"	"RAS_EGC_07_1819_4"	"07_2019_EGC_4"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Jul"	"19-Jul"	79	-5.4	"FRAM_4047_clip"	71.88	-1.37	34.06	27.4	318.89	85.36	0.12	NA	0	1	"7/27/2019"	24	NA	NA	NA	NA	69.74	-23.36	67.37	-50.02	"core-EGC"	"medium"	"medium"	"core-EGC_2018-19"
"72"	"RAS_EGC_09_1920_1"	"09_2019_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Sep"	"19-Sep"	79	-5.4	"PS126_98_bact_clip"	66.55	-1.57	32.6	26.23	341.83	89.96	0.02	8.06	0	1	"9/19/2019"	13.39	NA	NA	NA	NA	61.01	-32.49	53.89	-12.68	"core-EGC"	"medium"	"medium"	"core-EGC_2019-20"
"73"	"RAS_EGC_10_1920"	"10_2019_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Oct"	"19-Oct"	79	-5.4	"PS126_99_bact_clip"	66	-1.67	33.59	27.03	336.93	89.14	0.03	8.06	0	1	"10/17/2019"	4.99	NA	NA	NA	NA	99.06	-111.32	94.25	-78	"core-EGC"	"high"	"high"	"core-EGC_2019-20"
"74"	"RAS_EGC_11_1920"	"11_2019_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Nov"	"19-Nov"	79	-5.4	"PS126_100_bact_clip"	65.9	-1.24	32.96	26.51	326.29	86.89	0.02	8.04	0	1	"11/18/2019"	0	NA	NA	NA	NA	76.63	-91.17	98.21	-99.09	"core-EGC"	"high"	"high"	"core-EGC_2019-20"
"75"	"RAS_EGC_12_1920"	"12_2019_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Dec"	"19-Dec"	79	-5.4	"PS126_101_bact_clip"	65.7	-1.55	33.56	27.01	331.58	87.98	-0.03	8.06	0	1	"12/16/2019"	0	NA	NA	NA	NA	99.08	-85.06	95.31	-85.47	"core-EGC"	"high"	"high"	"core-EGC_2019-20"
"76"	"RAS_EGC_01_1920"	"01_2020_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Jan"	"20-Jan"	79	-5.4	"PS126_102_bact_clip"	66.06	-1.45	33.43	26.9	326.22	86.7	-0.03	8.04	0	1	"1/13/2020"	0	NA	NA	NA	NA	98.88	-37.61	99.16	-76.49	"core-EGC"	"high"	"high"	"core-EGC_2019-20"
"77"	"RAS_EGC_02_1920"	"02_2020_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Feb"	"20-Feb"	79	-5.4	"PS126_103_bact_clip"	66.92	-1.57	33.02	26.57	332.24	87.71	-0.06	8.05	0	1	"2/14/2020"	0	NA	NA	NA	NA	99.4	-73.82	96.17	-66.01	"core-EGC"	"high"	"high"	"core-EGC_2019-20"
"78"	"RAS_EGC_03_1920"	"03_2020_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Mar"	"20-Mar"	79	-5.4	"PS126_104_bact_clip"	66.02	-1.7	33.56	27	327.7	86.61	-0.09	8.07	0	1	"3/17/2020"	10.88	NA	NA	NA	NA	98.81	-111.63	99.06	-99.83	"core-EGC"	"high"	"high"	"core-EGC_2019-20"
"79"	"RAS_EGC_04_1920"	"04_2020_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Apr"	"20-Apr"	79	-5.4	"PS126_105_bact_clip"	65.94	-1.72	33.06	26.6	342.46	90.08	-0.08	8.06	0	1	"4/18/2020"	21.89	NA	NA	NA	NA	89.94	-132.3	97.79	-139.74	"core-EGC"	"high"	"high"	"core-EGC_2019-20"
"80"	"RAS_EGC_05_1920"	"05_2020_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"May"	"20-May"	79	-5.4	"PS126_106_bact_clip"	66.42	-1.81	33.76	27.17	338.53	89.35	-0.08	8.08	0	1	"5/16/2020"	24	NA	NA	NA	NA	85	-37.59	96.18	-91.59	"core-EGC"	"high"	"high"	"core-EGC_2019-20"
"81"	"RAS_EGC_06_1920"	"06_2020_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Jun"	"20-Jun"	79	-5.4	"PS126_107_bact_clip"	65.65	-1.62	33.67	27.1	330.42	87.59	-0.07	8.07	0	1	"6/13/2020"	24	NA	NA	NA	NA	69.65	-46.99	84.47	-64.01	"core-EGC"	"medium"	"high"	"core-EGC_2019-20"
"82"	"RAS_EGC_07_1920"	"07_2020_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Jul"	"20-Jul"	79	-5.4	"PS126_108_bact_clip"	66.07	-1.66	33.62	27.05	331.38	87.72	0.14	8.08	0	1	"7/15/2020"	24	NA	NA	NA	NA	81.88	-72.62	86.46	-59.07	"core-EGC"	"high"	"high"	"core-EGC_2019-20"
"83"	"RAS_EGC_08_1920"	"08_2020_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Aug"	"20-Aug"	79	-5.4	"PS126_109_bact_clip"	67.06	-1.73	32.56	26.19	357.01	93.52	-0.03	8.08	0	1	"8/16/2020"	24	NA	NA	NA	NA	78.38	-16.94	69.57	-37.13	"core-EGC"	"high"	"medium"	"core-EGC_2019-20"
"84"	"RAS_EGC_09_1920_2"	"09_2020_EGC"	"16S"	"EGC-6"	"EGC"	"2019-20"	"Sep"	"20-Sep"	79	-5.4	"PS126_110_bact_clip"	66.18	-1.7	32.45	26.11	354.53	92.88	-0.08	NA	0	1	"9/13/2020"	14.76	NA	NA	NA	NA	14.05	7.8	37.6	-5.56	"core-EGC"	"low"	"low"	"core-EGC_2019-20"
