"Sample"	"RAS_id"	"locus_tag"	"Mooring_full"	"Mooring"	"Year"	"Month_abb"	"Month"	"Latitude"	"Longitude"	"Clip_id"	"Depth"	"Temperature"	"Salinity"	"Sig"	"O2_concentration"	"O2_saturation"	"Chlorophyll_a_sensor"	"pH"	"AW_proportion"	"PW_proportion"	"Date"	"Daylight"	"NO3_NO2"	"PO4"	"NO2"	"SiO4"	"Ice_cover"	"Ice_edge_distance"	"Ice_cover_past"	"Ice_edge_distance_past"	"Mooring_position"	"Ice_cover_category"	"Ice_cover_past_category"	"Mooring_name"
"15"	"RAS_EGC_04_1718_2"	"04_2018_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Apr"	"18-Apr"	78.84	-2.81	"16S_FRAM_3939_clip"	86.58	0.52	34.58	27.74	307.17	86.76	NA	NA	0.46	0.54	"4/18/2018"	20.84	NA	NA	NA	NA	81.02	-20.05	48.84	-9.03	"MIZ"	"high"	"medium"	"MIZ_2017-18"
"16"	"RAS_EGC_05_1718_1"	"05_2018_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"May"	"18-May"	78.84	-2.81	"16S_FRAM_3940_clip"	76.33	0.78	34.7	27.82	293.77	83.61	NA	NA	0.61	0.39	"5/4/2018"	24	NA	NA	NA	NA	4.34	14.7	52.41	-7.52	"MIZ"	"low"	"medium"	"MIZ_2017-18"
"17"	"RAS_EGC_05_1718_2"	"05_2018_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"May"	"18-May"	78.84	-2.81	"16S_FRAM_3941_clip"	75.56	-0.1	34.52	27.72	304.17	84.5	NA	NA	0.4	0.6	"5/20/2018"	24	NA	NA	NA	NA	0	37.61	5.03	20.99	"MIZ"	"low"	"low"	"MIZ_2017-18"
"18"	"RAS_EGC_06_1718_1"	"06_2018_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Jun"	"18-Jun"	78.84	-2.81	"16S_FRAM_3942_clip"	76.77	3.36	34.99	27.85	340.79	103.68	NA	NA	0.89	0.11	"6/5/2018"	24	NA	NA	NA	NA	0.53	23.94	0.1	33.03	"MIZ"	"low"	"low"	"MIZ_2017-18"
"19"	"RAS_EGC_06_1718_2"	"06_2018_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Jun"	"18-Jun"	78.84	-2.81	"16S_FRAM_3943_clip"	89.15	2.8	34.95	27.87	313.37	94	NA	NA	0.86	0.14	"6/21/2018"	24	NA	NA	NA	NA	35.15	-6.54	5.28	14.75	"MIZ"	"low"	"low"	"MIZ_2017-18"
"20"	"RAS_EGC_09_1819_1"	"09_2018_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Sep"	"18-Sep"	79	-5.4	"16S_FRAM_4026_clip"	73.2	-1.77	33.58	27.03	352.45	92.98	0.17	8.11	0	1	"9/6/2018"	17.18	NA	NA	NA	NA	0	49.74	6.12	29.66	"core-EGC"	"low"	"low"	"core-EGC_2018-19"
"21"	"RAS_EGC_09_1819_2"	"09_2018_EGC_2"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Sep"	"18-Sep"	79	-5.4	"16S_FRAM_4027_clip"	71.76	-1.09	33.77	27.16	317.53	85.43	0.29	8.06	0	1	"9/22/2018"	12.58	NA	NA	NA	NA	43.11	-3.88	20.09	8.78	"core-EGC"	"medium"	"low"	"core-EGC_2018-19"
"22"	"RAS_EGC_10_1819_1"	"10_2018_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Oct"	"18-Oct"	79	-5.4	"16S_FRAM_4028_clip"	72.11	-1.31	33.43	26.89	309.6	82.61	0.2	8.01	0	1	"10/8/2018"	8.13	NA	NA	NA	NA	99.3	-74.98	87.08	-51.81	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"23"	"RAS_EGC_10_1819_2"	"10_2018_EGC_2"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Oct"	"18-Oct"	79	-5.4	"16S_FRAM_4029_clip"	71.74	-1.31	33.75	27.15	314.32	84.07	0.1	8.05	0	1	"10/24/2018"	0	NA	NA	NA	NA	99.6	-42.76	99.41	-80.48	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"24"	"RAS_EGC_12_1819_1"	"12_2018_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Dec"	"18-Dec"	79	-5.4	"16S_FRAM_4031_clip"	71.94	-1.16	34.15	27.47	330.36	89	0.06	8.12	0	1	"12/11/2018"	0	NA	NA	NA	NA	97.73	-48.83	93	-34.28	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
